,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,segment,time,flow,speed,is_crash,diff_flow,diff_speed,vari_flow_in_last_4mins,vari_speed_in_last_4mins,speed_on_last_seg,flow_on_last_seg
95706,95706,96000,98264,98264,4111,41880,223,26,1,-25,-23,716,117,19,166
45841,45841,45845,45849,45849,2218,75840,67,19,1,4,1,1684,76,14,72
54682,54682,54694,54884,54884,3112,36840,117,47,0,-6,5,8,4,0,0
7630,7630,7630,7630,7630,1112,53280,98,15,0,1,-3,0,8,14,99
94246,94246,94540,96804,96804,4109,39480,133,24,1,12,2,32,1,12,136
26588,26588,26589,26590,26590,2108,4080,61,81,0,2,0,27,0,81,58
57153,57153,57165,57355,57355,3116,74160,26,80,0,-2,3,1,6,31,34
143120,143120,143917,150550,150550,5201,24960,65,76,0,8,0,32,0,0,0
31797,31797,31800,31803,31803,2115,31920,74,75,0,-19,1,72,1,61,157
75865,75865,76112,78044,78044,3215,66480,83,23,1,8,1,11,0,65,125
69624,69624,69754,70995,70995,3205,84600,29,78,0,1,-2,0,1,75,23
87446,87446,87715,89949,89949,3233,79200,75,62,1,-2,2,4,0,0,0
42031,42031,42035,42039,42039,2211,50640,137,22,0,-20,-1,66,0,17,99
30111,30111,30114,30117,30117,2113,2400,47,81,0,-6,0,8,0,71,30
123443,123443,124028,128976,128976,4217,27360,259,65,0,-2,-1,1,0,0,0
29223,29223,29224,29225,29225,2111,68160,153,58,0,-25,1,400,24,35,234
57152,57152,57164,57354,57354,3116,74040,24,83,0,3,-6,4,6,35,39
116677,116677,117191,121607,121607,4206,85440,43,73,0,15,-1,50,0,78,26
17937,17937,17937,17937,17937,1212,2280,75,69,0,6,0,156,0,72,125
105726,105726,106031,108306,108306,4126,42960,192,34,1,-1,-4,20,40,38,165
144445,144445,145272,152158,152158,5203,45120,42,70,0,33,-3,184,2,75,53
109781,109781,110161,112762,112762,4132,60840,117,80,0,-19,1,66,0,77,154
94200,94200,94494,96758,96758,4109,33960,57,6,1,1,-2,9,0,3,49
